x,y
-209.48843383789062,-667.1294555664062
-208.75135803222656,-669.4623413085938
-207.93617248535156,-671.483642578125
-207.12249755859375,-673.241455078125
-206.28201293945312,-675.0028686523438
-205.42828369140625,-676.786376953125
-204.39991760253906,-678.9373168945312
-203.5321807861328,-680.7544555664062
-202.36135864257812,-683.2080078125
-201.26226806640625,-685.5125732421875
-199.9906768798828,-688.1797485351562
-198.78384399414062,-690.7120361328125
-197.36959838867188,-693.2678833007812
-195.77053833007812,-695.7797241210938
-194.379638671875,-697.8211059570312
-192.9978485107422,-699.8094482421875
-191.58363342285156,-701.6813354492188
-190.0020294189453,-703.6175537109375
-188.20489501953125,-705.5720825195312
-186.23915100097656,-707.5853271484375
-184.3597412109375,-709.2246704101562
-182.26815795898438,-710.4459838867188
-180.28558349609375,-711.1119384765625
-178.087646484375,-711.3975830078125
-175.73252868652344,-711.4868774414062
-173.29739379882812,-711.6784057617188
-170.88134765625,-712.146240234375
-168.4269561767578,-712.6821899414062
-165.77029418945312,-713.2452392578125
-162.88697814941406,-713.724853515625
-159.79058837890625,-714.1824340820312
-157.07272338867188,-714.4347534179688
-154.2200469970703,-714.6295166015625
-150.58740234375,-714.5670776367188
-146.64291381835938,-714.1769409179688
-143.34437561035156,-713.5614013671875
-139.7128143310547,-712.6806640625
-136.07289123535156,-711.510986328125
-132.37449645996094,-709.8409423828125
-128.31776428222656,-707.240234375
-125.57202911376953,-704.8680419921875
-123.48885345458984,-702.601318359375
-121.45079040527344,-699.6888427734375
-120.03012084960938,-696.6683349609375
-119.18089294433594,-693.775634765625
-118.61415100097656,-690.9482421875
-118.0793685913086,-688.115234375
-117.45743560791016,-685.70458984375
-116.78773498535156,-682.6431884765625
-116.20508575439453,-679.4390258789062
-115.65387725830078,-676.1049194335938
-115.11701965332031,-672.7353515625
-114.67332458496094,-669.0745239257812
-114.29119110107422,-665.4154052734375
-114.03572845458984,-661.6105346679688
-113.87216186523438,-657.7355346679688
-113.75730895996094,-653.7080688476562
-113.78892517089844,-648.8230590820312
-113.8955078125,-644.7501831054688
-114.04943084716797,-640.2554931640625
-114.28389739990234,-635.9423217773438
-114.65342712402344,-631.3718872070312
-115.08869171142578,-626.9823608398438
-115.68575286865234,-622.36376953125
-116.71742248535156,-616.759765625
-117.74540710449219,-612.2516479492188
-119.12255859375,-606.7107543945312
-120.51567077636719,-601.2584838867188
-121.91342163085938,-595.8104248046875
-123.37289428710938,-590.1132202148438
-124.5126724243164,-585.2787475585938
-125.54830169677734,-579.2124633789062
-126.27009582519531,-572.4581298828125
-126.67935943603516,-566.4572143554688
-127.0481185913086,-560.5000610351562
-127.4355697631836,-553.6275024414062
-127.51299285888672,-548.2927856445312
-127.3227767944336,-543.1995849609375
-126.8316879272461,-538.4030151367188
